release_date_et,release_time_et,event_type,reference_period,source_url
2024-01-05,08:30,NFP,2023-12,https://www.bls.gov/schedule/2024/
2024-01-11,08:30,CPI,2023-12,https://www.bls.gov/schedule/2024/
2024-02-02,08:30,NFP,2024-01,https://www.bls.gov/schedule/2024/
2024-02-13,08:30,CPI,2024-01,https://www.bls.gov/schedule/2024/
2024-03-08,08:30,NFP,2024-02,https://www.bls.gov/schedule/2024/
2024-03-12,08:30,CPI,2024-02,https://www.bls.gov/schedule/2024/
2024-04-05,08:30,NFP,2024-03,https://www.bls.gov/schedule/2024/
2024-04-10,08:30,CPI,2024-03,https://www.bls.gov/schedule/2024/
2024-05-03,08:30,NFP,2024-04,https://www.bls.gov/schedule/2024/
2024-05-15,08:30,CPI,2024-04,https://www.bls.gov/schedule/2024/
2024-06-07,08:30,NFP,2024-05,https://www.bls.gov/schedule/2024/
2024-06-12,08:30,CPI,2024-05,https://www.bls.gov/schedule/2024/
2024-07-05,08:30,NFP,2024-06,https://www.bls.gov/schedule/2024/
2024-07-11,08:30,CPI,2024-06,https://www.bls.gov/schedule/2024/
2024-08-02,08:30,NFP,2024-07,https://www.bls.gov/schedule/2024/
2024-08-14,08:30,CPI,2024-07,https://www.bls.gov/schedule/2024/
2024-09-06,08:30,NFP,2024-08,https://www.bls.gov/schedule/2024/
2024-09-11,08:30,CPI,2024-08,https://www.bls.gov/schedule/2024/
2024-10-04,08:30,NFP,2024-09,https://www.bls.gov/schedule/2024/
2024-10-10,08:30,CPI,2024-09,https://www.bls.gov/schedule/2024/
2024-11-01,08:30,NFP,2024-10,https://www.bls.gov/schedule/2024/
2024-11-13,08:30,CPI,2024-10,https://www.bls.gov/schedule/2024/
2024-12-06,08:30,NFP,2024-11,https://www.bls.gov/schedule/2024/
2024-12-11,08:30,CPI,2024-11,https://www.bls.gov/schedule/2024/
