event_id,scheduled_at,event_family,feature_ready_at,headline_surprise,revision_surprise,internal_breadth,regime_score,pre_volatility_bp,anchor_mid,residual_15m_bp,residual_60m_bp,entry_spread_bp,exit15_spread_bp,exit60_spread_bp,dataset_role,provenance
SYN-2024-01-NFP,2024-01-05T13:30:00+00:00,NFP,2024-01-05T13:30:35+00:00,1.2,0.3,0.7,0.5,5.0,145.000,4.9,7.2,2.0,1.4,1.1,backtest,synthetic_fixture
SYN-2024-01-CPI,2024-01-11T13:30:00+00:00,CPI,2024-01-11T13:30:32+00:00,-0.8,-0.2,-0.5,0.4,4.0,145.300,-3.2,-4.8,1.8,1.3,1.0,backtest,synthetic_fixture
SYN-2024-02-NFP,2024-02-02T13:30:00+00:00,NFP,2024-02-02T13:30:36+00:00,0.5,-0.1,0.4,0.6,5.5,146.100,1.7,2.8,2.2,1.5,1.2,backtest,synthetic_fixture
SYN-2024-02-CPI,2024-02-13T13:30:00+00:00,CPI,2024-02-13T13:30:30+00:00,1.0,0.2,0.6,0.7,6.0,146.500,3.9,6.1,2.5,1.7,1.3,backtest,synthetic_fixture
SYN-2024-03-NFP,2024-03-08T13:30:00+00:00,NFP,2024-03-08T13:30:34+00:00,-1.1,-0.3,-0.8,0.5,6.5,147.000,-4.8,-7.0,2.8,1.8,1.4,backtest,synthetic_fixture
SYN-2024-03-CPI,2024-03-12T12:30:00+00:00,CPI,2024-03-12T12:30:31+00:00,0.3,0.1,0.2,0.8,4.5,147.400,1.3,2.0,1.9,1.3,1.0,backtest,synthetic_fixture
SYN-2024-04-NFP,2024-04-05T12:30:00+00:00,NFP,2024-04-05T12:30:33+00:00,0.9,0.4,0.5,-0.4,7.0,148.000,3.0,4.2,3.0,2.0,1.5,backtest,synthetic_fixture
SYN-2024-04-CPI,2024-04-10T12:30:00+00:00,CPI,2024-04-10T12:30:37+00:00,-0.4,0.0,-0.3,-0.6,5.0,148.300,-1.4,-2.1,2.1,1.4,1.1,backtest,synthetic_fixture
SYN-2024-05-NFP,2024-05-03T12:30:00+00:00,NFP,2024-05-03T12:30:29+00:00,1.4,-0.2,0.9,-0.5,8.0,149.000,4.0,5.8,3.4,2.2,1.7,backtest,synthetic_fixture
SYN-2024-05-CPI,2024-05-15T12:30:00+00:00,CPI,2024-05-15T12:30:38+00:00,-1.3,-0.4,-0.7,-0.7,7.5,149.500,-5.4,-8.1,3.1,2.0,1.6,backtest,synthetic_fixture
